,37,39,41,59,63,67,75,90,91,99,106,107,116,119,124,129,137,139
100,goiz,goiz,goiz,goiz,"garaiz,goiz","goiz,garaiz","goiz,liztogi",goizik,"goizik,fite",fite,"goiz,goizik",goizik,"goiz,goizik",goiz,goizik,"goizik,goiz,ahantzu","goizik,goiz",goizik
101,"berandu,belu",berandu,berandu,berandu,berandu,berandu,berandu,berandu,berandu,berant,berant,"berant,gibelamenduarekin",berant,berant,berant,berant,berant,berant
102,lehen,"sasoi,antzina","sasoi,aspaldi,antzina","antzina,sasoi","garai,antzina,lehen",garai,"lehen,aurretik,aspaldi",denbora,lehen,lehengo denbora,"lehen,aspaldi","lehen,aspaldi","lehen,aspaldi","lehen,aspaldi,bertzorduz,denbora","lehen,denbora,aspaldi","lehen,aspaldi,lehengo denbora","lehen,iragan aspaldi,aspaldiko partez","lehen,aspaldi,bertzorduz"
103,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain,orain
104,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti,beti
105,derrepente,derrepente,"berehala,laster,aurki,atoan,behingoan","segiduan,laster,ondoan,berehala",segiduan,"segiduan,berehala","berehala,segiduan,presaka","segiduan,agudo",berehala,berehala,"kuxian,berehala,fite","berehala,kuxian,brista-brista,fite","berehala,fite,segiduan",berehala,"berehala,abian",berehala,"arrunt,istantean,berehala","arrunt,berehala,derrepente"
106,oraindino,oraindino,oraindino,"oraindik,oraindikan",oraindik,"oraindik,oraindikan,oraindino",oraindino,oraindik,oraindik,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino,oraindino
107,Poliki-poliki,Apurka-apurka,"Poliki-poliki,apurka-apurka,geldiro-geldiro,pitika-pitika","Pixkaka-pixkaka,poliki-poliki",pixkaka-pixkaka,pixkaka-pixkaka,"Geldiro-geldiro,pixkaka-pixkaka",Pixkaka-pixkaka,"Pixkaka-pixkaka,pitaka-pitaka",Emeki-emeki,"Emeki-emeki,baratxe-baratxe","Pitaka-pitaka,emeki-emeki","Puxka-puxkaka,emeki-emeki","Pitaka-pitaka,emeki-emeki",Emeki-emeki,Emeki-emeki,"Baratxe-baratxe,emeki-emeki",Emeki-emeki
108,soseguz,soseguz,"soseguz,astiro,poliki",geldiro,"poliki,despazio,geldiro,motel","geldi,despazio,mantso",geldiro,mantso,mantso,emeki,"emeki,eztiki,baratxe","emeki,astiro,eztiki","emeki,eztiki","emeki,erreposki,eztiki","emeki,erreposki,terter","erreposki,terter","baratxe,emeki,urriki",baratxe
109,agudo,bizkor,"azkar,laster","mogitu,azkar",azkar,mogitu,"listo,mogitu",mogitu,mogitu,presa,"mogitu,laster,erne","erne,mogitu,presa",erne,erne,"erne,presa",erne,zotuka,"zotuka,haigu berehala,erne"
110,"denbora,asti","denbora,asti","denbora,asti","denbora,beta","denbora,beta","denbora,beta","denbora,beta","denbora,asti",denbora,denbora,"asti,denbora",asti,"denbora,asti","asti,aizina","asti,aizina,denbora",aizina,"denbora,aizina","aizina,arte"
111,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan,orduan
112,lehen,lehen,lehen,lehen,lehen,lehen,lehen,lehen,"lehen,aresti",lehen,"lehen,aintzin,gabe",lehen,"aresti,lehen,gabe","aintzin,gabe,lehen","aintzin,lehen,gabe","lehen,gabe","lehen,gabe","aintzin,lehen,gabe"
113,gero,gero,"gero,ondoren",gero,gero,gero,gero,gero,gero,gero,"gero,ondoan,landa,lekura","gero,ondoan,landa,lekura","gero,ondoan","gero,ondoan,landa","gero,pasatuta,ondoan,landa","gero,landa","gero,landa,ondoan","gero,landa,eta,ondoan"
114,momentu,"istante,une","momentu,takada,une","momentu,une","momentu,istante,une",momentu,"istante,momentu",momentu,momentu,momentu,istante,"momentu,istante","momentu,istante",istante,"istante,momentu",istante,"istante,momentu","amiñi,istante,momentu"
115,"segituan,oraintxe,laster",laster,berehala,segituan,"segituan,berehala","segituan,azkar,laster","berehala,segituan","agudo,berehala",berehala,berehala,"istante,sarri",istante,sarri,"istante,berehala,sarri","sarri,bulta",sarri,sarri,sarri
116,agudo,bizkor,"azkar,bizkor,arin,agudo","azkar,segituan,bizkor",azkar,azkar,"listo,azkar",agudo,fite,fite,"zalui,fite,laster","fite,laster,zalui",fite,fite,"zalui,laster,zalui,fite",fite,"zalui,fite","zalui,bertan"
117,ordu,ordu,ordu,ordu,ordu,ordu,ordu,ordu,ordu,"oren,tenore","ordu,oren,tenore","oren,tenore","oren,tenore","oren,tenore,ordu","ordu,tenore,oren","oren,tenore",tenore,tenore
118,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,urteberri,"urtats,urteberri",urtats,urtats,urtats,urtats,urtats,urtats,urtats
119,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario,kandelario
120,karnabal,"aratuste,karnabal","karnabal,inauteri,aratuste",karnabal,karnabal,karnabal,inauteri,inauteri,inauteri,"inauteri,karnabal",inauteri,inauteri,inauteri,inauteri,inauteri,"inauteri,pantzart",inauteri,inauteri
121,hautsan egun,hautsan egun,hautsan egun,hautserre egun,hautserre egun,hautserre egun,hautserre egun,hauste,hauste,hauste,hauste,hauste,hauste,"hautsasteazken,hauste",hauste,hauste,hauste,hauste
122,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,garizuma,goxuma,goxuma
123,erramudomeka,erramudomeka,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuigande,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun,erramuegun
124,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko,pazko
125,korpusti,korpusti,korpusti,korpusti,korpusti,korpusti,korpusti,bestaberri,bestaberri,korpusti,bestaberri,bestaberri,bestaberri,bestaberri,bestaberri,bestaberri,bestaberri,bestaberri
126,amabirjina,andremari,andremari,amabirjina,amabirjina,amabirjina,amabirjina,amabirjina,amabirjina,amabirjina,andredenamari,andredenamari,andredenamari,andredenamari,andredenamari,"amabirjina,andredenamari",andredenamari,andredenamari
127,santu guztien egun,domusantu,"santu guztien egun,domusantu",santu guztien egun,santu guztien egun,santu guztien egun,domusantu,domusantu,"santu guztien egun,domusantu",domusantu,omiasaindu,omiasaindu,omiasaindu,omiasaindu,omiasaindu,"domusantu,omiasaindu",domusantu,domusantu
128,natibitate,natibitate,"natibitate,eguberri",eguberri,eguberri,eguberri,pazko,eguberri,eguberri,"natibitate,eguberri",eguberri,eguberri,eguberri,eguberri,eguberri,eguberri,natibitate,natibitate
129,herriko festa,herriko festa,"herriko festa,herriko jai",herriko festa,herriko festa,herriko festa,herriko festa,festaburu,herriko festa,herriko festa,herriko festa,herriko festa,herriko festa,herriko festa,"herriko festa,elizabesta",herriko festa,"elizabesta,herriko festa,herriko jai","herriko festa,elizabesta,herriko jai"
130,aldapa,aldapa,"bizkar,aldatz,aldapa","aldapa,pendiz,malda","aldapa,malda","aldapa,malda",aldapa,malda,malda,aldapa,"malda,aldapa,patar","patar,malda","malda,patar","patar,malda","petigora,zut,gainbera,patar","patar,malda","mazela,zerra,patar","mazela,patar,panta"
131,mendi,mendi,mendi,mendi,mendi,mendi,mendi,mendi,mendi,mendi,"mendi,bortu",mendi,"mendi,bortu","mendi,bortu","mendi,bortu","mendi,bortu","bortu,mendi","mendi,bortu"
132,"gailur,punta",punta,"tontor,gailur","mutur,tontor","tontor,gailur","mutur,gailur,tontor,bizkar","gain,punta,hegi","kasko,bizkar",kasko,piku,"tunturru,kasko,punta","punta,zelai,tontor,mendizorrotz,kasko","kasko,gain,tontor,tunturru,punta","tunturru,bizkar,kasko","muño,kasko,tunturru,tontor,punta,bizkar,hegi","kasko,gain,tunturru,thini","punta,kasko,hegi,zerra,bizkar,tontor","bizkar,hegi,gain,mutur,thini,kukula,kasko,zerra"
133,"leize,zulo",leize,"koba,leize",leize,leize,"leize,zulo",leize,leize,leize,"leize,osin",leize,"zulo,leize",leize,"leize,putzu",leize,"putzu,osin,leize","leize,zulo",leize
134,"hegal,malda",bizkar,"bizkar,erripa",pendiz,hegal,aldapa,"barga,alde,bargazier","mazel,izlei",,"gainbehera,petigora","mazel,paret","mazel,paret",mazel,mazel,"ixuri,paret,mazel,malda","paret,ixuri","mazel,aztal,uraldi","mazel,paret"
135,eguzkibegi,eguzkibegi,"ibargi,eguzkibegi",egutera,egutera,"egutera,eguzki-","egutera,eguzkialde","eguzkialde,eguzkibegi",eguzkibegi,ekialde,eguzkialde,eguzkibegi,eguzkibegi,eguzkibegi,eguzkibegi,eguzki-,ekhibegi,ekhibegi
136,ainube,"kontrasol,ainube","ainube,laiotz",ospel,ospel,ospel,"itzal,itzalalde",ospel,ospel,oeske,eguzki-,eguzki-,utsal,ospel,"ospel,eguzki-,oiheski","eguzki-,ospel",itzal-,"gibel,itzal,enbez"
137,igo,igo,igo,igo,igo,igo,igo,igon,igon,igon,"upatu,igon,goiti joan",igon,"goiti joan,igon",igon,igon,"goiti joan,igon",igon,betigora igon
138,"bajatu,jatsi",bajatu,"jatsi,beheratu","jatsi,beheratu,behera joan",jatsi,jatsi,jatsi,jatsi,jatsi,jatsi,"beititu,beiti jatsi",jatsi,jatsi,jatsi,jatsi,"jatsi,beiti jin",jatsi,jatsi
139,"lautada,esplanada","lau,llanada,lautada","laundara,zabaltoki",ordeka,"zelai,ibar",zelai,zelai,zelai,zelai,ordoki,"zelai,ordoki","planu,zelai,ordoki","zelai,ordoki","zelai,ordoki","ordoki,zelai",ordoki,"naba,ordoki,planu","ordoki,planu,naba,urrupea"
140,barranko,makar,"malkar,malda,terraplen,errekarro,arroska",barranko,"mendisakon,malkar","malkar,amildegi",sakan,errekazintzur,malkar,"errekazta,barranko","erreka,arroil",arroil,,,"erreka,ziztur,arroil",erreka,arroil,arroil
141,jausi,bueltaka joan,"jausi,amildu,irristan egin",amildu,amildu,"erori,gainbehera erori,goitibehera erori,amildu","bota,inburuzka",erroiztu,erroiztu,erori,"lerratu,zirriztatu","lerratu,zirristatu","lerratu,erroiztu,larrutu,meskabitu","lerratu,larrutu","larrutu,meskabitu",larrutu,"larrutu,terestatu","lerratu,baxanbehera joan,tililikaz"
142,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri
143,haitz,"harkaitz,haitz","haitz,harkaitz","arroka,harkaitz",harkaitz,harkaitz,"barga kozkor,malkor",peña,peña,roka,harroka,harroka,"harroka,peña","harri kotor,harroka","peña,harroka","harroka,peña","harroka,botxü","botxü,harribotxü"
144,trabatu,estropesau,estropesau,estrapuzu egin,estrapuzu egin,ostrapozka egin,aztapatu,muturkatu,muturkatu,"tropezatu,estropesau","andar egin,behaztopatu,trebukatu","trebukatu,behaztopatu",behaztopatu,"aztapatu,behaztopatu","behaztopatu,harri ostikoa hartu,erortzer","trebukatu,beaztopatu","behaztopatu,trabatu","behaztopatu,trebukatu"
145,erreka,erreka,erreka,"errio,ibai",ibai,"erreka,ibai",ubelde,"erreka,ugalde","ugalde,erreka",ugalde,"urerreka,urandi",urandi,urandi,urandi,"erreka,urandi,ur",urandi,uhaitz,"uhaitz,erreka"
146,"errekatxo,erreka txiki",erreka,errekatxo,erreka,erreka,erreka txistor,erreka,"baserreka,erreka","erreka tal,erreka txar",erreka,ur xirripa,"urerreka,ur xirripa","erreka,ur xirripa","erreka,errekaño","iturri,errekasto",erreka,"erreka,errekila","erreka,errekila"
147,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zubi,zübü,zübü
148,igeri egin,igeri egin,igeri egin,igeri egin,igeri egin,igeri egin,igerikatu,igerika egin,igerika ari,igeri egin,igerika ari,igerika ari,igerika ari,igerika ari,igerika ari,igerika ari,igexka ari,igexkatu
149,ito,ito,ito,ito,ito,ito,ito,ito,ito,ito,ito,ito,ito,ito,itho,ito,itho,itho
150,"gainezka egin,desbordau",urten,gainezka egin,gainezka egin,atera,"atera,gainezka egin",atera,goititu,"atera,igon","elki,bere amati kanpo","atera,soperna,gainditu","soperna,ganditu,atera",gainditu,atera,gainditu,gaindi egin,"guatzen,gaiztu,elki,gainditu","gaindi,gainditu,engorgu"
151,"uriol,inundazio","ujel,inundazio","uriol,urandi,uramil","ujal,aneatu","ujalte,ugalde","inundazio,ugalde","inundazio,inundatu",ubaro,ubaro,inundatu,"soperna,ugalde,inundazio",soperna,ugalde,"urak hartu,uarre,inundazio",uhaste,"inundazio,uhaste","urpe egin,urte","urte,urak gainti,uhalde"
152,garbi,garbi,garbi,"garbi,argi",garbi,garbi,garbi,garbi,garbi,garbi,argi,argi,"argi,garbi",garbi,"garbi,argi",garbi,"garbi,klar","klar,argi"
153,loi,zikin,"loi,zikin",zikin,"arre,zikin","arre,zikin",zikin,zikin,zikin,bular,"zikin,arre",zikin,"zikin,lohi",zikin,"truble,zikin",nahasi,"thürbüts,thegü","thegü,lohi,thürbüts"
154,"padura,zingera",izengura,iztinga,"lokaztegi,zingera",zingera,zingera,"zietz,uskuntz","liska,aintzira",linge,loi,"errepira,ihiztoki",ihiztoki,"urgune,ihiztoki,intha","ihiztoki,liska","liska,intha",isla,"isla,hurtoki,lohitoka,ihiztoki","ihiztoki,isla,hurtoki"
155,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur,lur
156,"umel,busti","umel,heze",heze,"motel,umedade,umedo","umedo,ezko,heze","umedo,heze",heze,"motel,heze","motel,zeken,heze",heze,"umi,heze",umi,"umi,istil,heze","umi,pisu","trenpuan,lohi,trenpatu,heze,ezti","mardo,umi","handi,pisu,mardo,ezti,busti,umi,heze","umi,ezti"
157,siku,siku,lehor,lehor,lehor,"lehor,siku","siku,erlastu",idor,idor,"xuko,idor",idor,idor,idor,"idor,sukartu,idor","idor,xuko,gogor","idor,xuko","idor,bela,xuko,gogor","idor,gaitz,gogor"
158,zulo,zulo,zulo,zulo,zulo,zulo,zulo,zulo,zilo,zilo,zilo,zilo,zilo,zilo,zilo,zilo,zilo,zilo
159,buztin,"buztin,buztinlur",buztinlur,buztin,buztin,buztin,buztin,buztin,buztin,buztin,buztiño,buztiño,buztinlur,buztin,"buztin,buztinlur",buztin,"buztinlur,buztin","buztanlur,arzilla"
160,kantera,kantera,kantera,harrobi,harrobi,harrobi,"harrobi,kantera",harrobi,harrobi,kantera,harrobi,harrobi,harrobi,"karrier,harrobi",harrobi,harrobi,"harridokigia,harrogi,harrobi",harzilo
161,"zelai,larre",larre,"larre,belarleku","barruti,larre",larretoki,larre,larre,larre,"larre,kanpo",belartza hertsi,"alhatoki,larreki,belardi,barrendegi","bazkaleku,alhaleku,alhapide,belartegi","larre,alhaleku,alhapide",bazkaleku,"bazkagia,sohatza,soropil","alhagia,bazkagia","-alhagia,saia","alhagia,sohaki,soro,bazkagia"
162,"komunal,herriterreno,herribaso",herrilur,herribaso,herriterreno,herrisail,herriterreno,herriterreno,komunal,komunal,komun,"herrilur,komun",komun,komun,komun,sindikalur,komun,herrilur,"komunal,bortu"
163,mugarri,mugarri,mugarri,"mujoi,mugarri",mugarri,mugarri,mugarri,mugarri,mugarri,mujoi,mugarri,zedarri,"mugarri,zedarri","zedarri,mugarri","mugarri,zedarri,mugarri",zedarri,"zedarri,erreper",zedarri
164,"zerradura,hesi","hesitura,zerradura","zerradura,hesi",hesi,itxitura,"hesi,itxitura",hesi,"hesi,hertsi","hertsi,zerko,hesi","hertsi,estura","hesi,zerratu",kereta,zerrangi,hesi,zerradura,"gapar,zerrailu",zerrado,zerrailu
165,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,alanbre,"gate,alanbre",alanbre,alanbre,alanbre,alanbre,alanbre
166,herdoil,uger,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil,herdoil
167,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide,bide
168,"repetxo,erripa",aldapa,"aldats,aldapa,pendiz",aldapa,aldapa,aldapatxo,aldapa,"malda,aldapa",malda,aldapa,"patar,malda",patar,"patar,malda","malda,patar","petigora,patar",patar,"patar,zut,petigora","patar,zut,petigora"
169,kamiño,kamiño,kamiño,kamiño,kamiño,kamiño,bideberri,karretera,karretera,karretera,"bidehandi,bide,errepide",errepide,"bidehandi,errabide","bidehandi,errepide","errepide,napoleonenbide,bideberri","bidehandi,herribide","bidehandi,bideberri","bideberri,napoleonbide"
170,"senda,sendero,bidezidor",bidezidor,senda,bidezidor,bidezidor,bidezidor,senda,senda,senda,"senda,bidemear",bidexka,bidexka,bidexka,"Xendra,bidexka","bidexka,xendra","bidexka,xendrabide",senda,senda
171,ataju,ataju,ataju,ataju,"lasterbide,ataju",ataju,alkortze,lasterbide,lasterbide,bidelabur,"zuzen,urbilbide,artebide,laburbide","trebes-,laburbide","labur-,artebide",artebide,"heinkabide,labur-,bidaxean",xendra,"laburbide,traukez,parranpa,ihaizgia",labur-
172,trango,ankalorrotz,zulo-,zulo,trango,zulo,"zulo,batxe",zilo,"zilo,zulo","zilo,batxe",zilo,zilo,,zilo,tranbala,zilo-,"zilomilonka,oilohabi",zilo-
173,burdibide,burdibide,burdibide,gurdibide,gurdibide,"gurdibide,mendibide",karrobide,karrobide,karrobide,karrobide,"orgabide,bazterbide",orgabide,orgabide,orgabide,orgabide,orgabide,orgabide,orgabide
174,"-buelta,kurba",-buelta,"-buelta,bihurgne,errebuelta",-oker,errebuelta,"errebuelta,kurba",buelta,errebuelta,errebuelta,"errebuelta,kurba,makur","itzuli,bihurgune","itzuli-,inguru-,bihurgune",bihurgune,bihurgune,bihurgune,bihurgune,üngüada,üngüada
175,bidekurtze,bidekurutz,,"hirubide,bikamiota,laubide",kruze,bidekruze,bidekruze,bidekurutz,bidekurutz,kruze,bihurgune,bidekurutze,bidekurutz,-junta,-junta,bidekurutz,"-hargia,-junta",-hargia
176,bidekurtze-,bidegurutze,bidekurtze,laubide,krutze,bidekrutze,bidekrutze,bidegurutze,bidegurutze,krutze,"bidegurutze,bidejunta",bidekurutxe,"bidegurutze,bidejunta",bidegurutze,bidegurutze,bidegurutze,bidekhütxüne,khütxüne
177,kale,kale,kale,kale,kale,kale,karrika,karrika,karrika,karrika,karrika,karrika,karrika,karrika,karrika,karrika,arrüa,"arrüa,karrika"
178,biaje,"biaje,ostera","biaje,joanetorri,atzeraurrera",biaje,biaje,biaje,biaje,biaje,biaje,biaje,"bidaia,itzuli,joanjin,haratunat","bidaia,joanjin","bidaia,joanjin,haratunat","bidaia,joanjin,haratunat","bidaia,joanjin,haratunat","bidaia,joanjin,tur","bidaia,haratunat,joanjin","bidaia,haratunat,joanjin"
179,"ur,gertu",ur,"ur,ondo,inguru","bertan,ur","gertu,bertan,alde","gertu,bertan","gertu,inguru",hurbil,hurbil,hurran,"alde,hurbil",hurbil,hurbil,hurbil,"hurran,hurbil,ondo","hurbil,hurran,inguru","hüllant,etzin,kantian,ondo","hüllant,ondo,kantian"
180,urrun,urrun,urrun,urruti,"urruti,aparte",urruti,urruti,urrun,urrun,urrun,urrun,urrun,urrun,urrun,urrun,urrun,hürrün,hürrün
181,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kamiñeru,kantonier,kantonier,kantonier,kantonier,"kantonier,bide-",kantonier,kantonier,kantonier
182,"auzolan,tandan","bidegintze,auzolan",auzolan,auzolan,"auzolan,aldi",auzolan,"auzolan,ikidian",auzolan,auzolan,auzolan,malobra,malobra,bidegite,bidegite,bideka,bideka,aizelan,"bideka,aizelan"
183,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa,-oa
184,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak
185,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok,-ok
186,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak,-oak
187,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek,-oek
188,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori,-ori
189,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari,-oari
190,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei,-oei
191,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik,-orik
192,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren,-oren
193,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren,-oaren
194,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen,-oen
195,-ogaz,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,-orekin,"-oreki,-orekin",-orekin
196,-oagaz,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,-oarekin,"-oarekin,-oarekilan",-oarekin,-oarekin,-oarekin,-oarekin,-oarekilan,-oarekin
197,-oekin,-oekin,-oekin,-oekin,-oekin,-oekin,-oekin,-oekin,-oekin,-oekin,"-oekin,-oekilan",-oekin,-oekin,-oekin,-oekin,-oekin,-oeki,-oekin
